train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,25,test,Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.9272,1.1347,4.414,2.1663,2.8378,2.971,transfer_from_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.738,0.9607,6.7315,1.9097,2.8386,0.8128,transfer_from_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,0.8275,1.0612,5.6017,2.1348,2.8866,0.181,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,26.0989,29.1858,46.701,42.8465,43.9928,0.2254,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,25.6587,28.6212,44.4976,41.6386,42.7332,0.1258,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,24.5951,28.2627,44.9943,41.6594,43.0223,5.9747,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,28.8071,32.6407,56.4065,52.1319,54.9495,-0.1416,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,28.7653,32.5865,56.2082,50.4402,53.7686,-0.4842,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,27.9493,31.7682,56.3132,51.4502,54.6857,0.0011,transfer_from_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.8588,1.2114,6.3697,2.3289,4.2527,0.6332,transfer_from_25degC
