train_temperature_C,test_temperature_C,split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,experiment
25,0,test,Filtered-feature MLP,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6328,,34.4298,38.7118,74.5446,61.7526,71.608,74.5031,transfer_from_25degC
25,0,test,Filtered-feature MLP,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12853,,39.2434,45.2494,80.0034,73.4365,78.42,80.0034,transfer_from_25degC
25,25,test,LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,5825.0,0.6611,0.7859,2.5566,1.3868,1.6556,-0.1177,transfer_from_25degC
25,25,test,LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,5825.0,0.3994,0.5082,2.4728,0.9812,1.414,-0.8036,transfer_from_25degC
25,25,test,LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,5825.0,0.4711,0.5966,3.2131,1.1313,1.7027,0.2923,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,5825.0,25.6384,28.9286,57.8055,49.8455,56.3937,-18.1621,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,5825.0,25.1225,28.0249,60.0923,48.6099,52.31,-0.8373,transfer_from_25degC
25,10,test,LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,5825.0,24.1567,28.6454,57.8446,51.4888,54.8868,-11.0903,transfer_from_25degC
25,0,test,LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,5825.0,37.2376,39.8162,69.6825,62.5792,66.3105,-19.963,transfer_from_25degC
25,0,test,LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,5825.0,35.9473,38.6536,72.8416,59.8042,67.8777,-19.9993,transfer_from_25degC
25,0,test,LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,5825.0,35.9571,38.5375,71.3784,59.6514,63.5598,-19.9291,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,48769.0,0.8006,1.0254,4.0261,2.0605,2.6824,2.7101,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,48769.0,0.5544,0.7199,3.446,1.4794,1.9508,0.5254,transfer_from_25degC
25,25,test,CNN-LSTM Teacher,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,48769.0,0.6869,0.9211,6.7685,1.8053,2.6947,0.3959,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,48769.0,20.884,22.707,40.0699,31.9192,34.082,32.43,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,48769.0,19.1575,20.6929,37.4918,29.8544,32.388,31.7625,transfer_from_25degC
25,10,test,CNN-LSTM Teacher,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,48769.0,24.0084,26.1975,43.0987,37.201,39.3984,36.4711,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,48769.0,23.2672,26.8509,50.4761,43.558,49.754,50.4198,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,48769.0,21.6454,24.9855,48.8608,41.16,47.8736,48.8537,transfer_from_25degC
25,0,test,CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,48769.0,25.6842,29.4136,51.1368,45.9991,50.032,51.0648,transfer_from_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.6714,0.8213,2.8546,1.4969,2.0761,1.6998,transfer_from_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.6896,0.8719,3.5355,1.6894,2.4822,-0.7664,transfer_from_25degC
25,25,test,Tiny CNN-LSTM Student,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,0.7986,0.9939,3.6186,2.0019,2.4808,-0.9726,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,22.8699,25.4817,41.9946,36.3356,39.265,4.9673,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,21.7367,24.0549,44.7795,33.6402,36.2756,4.4704,transfer_from_25degC
25,10,test,Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,22.0331,24.6951,40.5266,33.9915,37.4514,12.0168,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,31.6794,36.9631,65.0817,60.2561,62.9473,4.2844,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3361.0,30.7454,36.0587,65.8941,57.0536,63.3108,4.1436,transfer_from_25degC
25,0,test,Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3361.0,31.3025,36.4616,64.6209,58.8317,62.5473,4.3412,transfer_from_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,3361.0,0.8427,1.0648,3.9951,2.0879,2.5823,2.6285,transfer_from_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,3361.0,0.624,0.8188,5.6645,1.6169,2.471,0.3994,transfer_from_25degC
25,25,test,Distilled Tiny CNN-LSTM,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,3361.0,0.6607,0.8546,3.6979,1.7285,2.5202,0.5641,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3361.0,10.0663,11.9673,26.3079,19.3839,24.1813,13.4798,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3361.0,10.0246,11.721,27.8861,18.8089,23.522,12.869,transfer_from_25degC
25,10,test,Distilled Tiny CNN-LSTM,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3361.0,10.214,11.8651,25.7548,18.5076,20.6064,20.5528,transfer_from_25degC
25,0,test,Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3361.0,11.6736,14.6888,33.1923,27.8734,32.003,17.7613,transfer_from_25degC
